ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
2AK,"Deer Park, AK",SIT,"Sitka, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
9NY,"Shelter Island, NY",SLK,"Saranac Lake/Lake Placid, NY"
9NY,"Shelter Island, NY",MVY,"Martha's Vineyard, MA"
9NY,"Shelter Island, NY",BOS,"Boston, MA"
9NY,"Shelter Island, NY",NPT,"Newport, RI"
A01,"Fairbanks/Ft. Wainwright, AK",FAI,"Fairbanks, AK"
A03,"Hallo Bay, AK",HOM,"Homer, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",ANC,"Anchorage, AK"
A20,"Alpine, AK",SCC,"Deadhorse, AK"
A26,"Ivotuk, AK",FAI,"Fairbanks, AK"
A52,"Silver Salmon Creek, AK",HOM,"Homer, AK"
A72,"Chinitna Bay, AK",HOM,"Homer, AK"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA"
ABE,"Allentown/Bethlehem/Easton, PA",MEM,"Memphis, TN"
ABE,"Allentown/Bethlehem/Easton, PA",IND,"Indianapolis, IN"
ABE,"Allentown/Bethlehem/Easton, PA",PHL,"Philadelphia, PA"
ABE,"Allentown/Bethlehem/Easton, PA",MYR,"Myrtle Beach, SC"
ABE,"Allentown/Bethlehem/Easton, PA",TEB,"Teterboro, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",CVG,"Cincinnati, OH"
ABE,"Allentown/Bethlehem/Easton, PA",ILN,"Wilmington, OH"
ABE,"Allentown/Bethlehem/Easton, PA",SBD,"San Bernardino, CA"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA"
ABE,"Allentown/Bethlehem/Easton, PA",AFW,"Dallas/Fort Worth, TX"
ABE,"Allentown/Bethlehem/Easton, PA",SBD,"San Bernardino, CA"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",LGA,"New York, NY"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",MYR,"Myrtle Beach, SC"
ABE,"Allentown/Bethlehem/Easton, PA",SFB,"Sanford, FL"
ABE,"Allentown/Bethlehem/Easton, PA",PVD,"Providence, RI"
ABE,"Allentown/Bethlehem/Easton, PA",PIE,"St. Petersburg, FL"
ABE,"Allentown/Bethlehem/Easton, PA",BNA,"Nashville, TN"
ABE,"Allentown/Bethlehem/Easton, PA",FLL,"Fort Lauderdale, FL"
ABE,"Allentown/Bethlehem/Easton, PA",SRQ,"Sarasota/Bradenton, FL"
ABE,"Allentown/Bethlehem/Easton, PA",PGD,"Punta Gorda, FL"
ABE,"Allentown/Bethlehem/Easton, PA",SAV,"Savannah, GA"
ABE,"Allentown/Bethlehem/Easton, PA",RNO,"Reno, NV"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABI,"Abilene, TX",LBB,"Lubbock, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",AEX,"Alexandria, LA"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OBU,"Kobuk, AK"
ABL,"Ambler, AK",ORV,"Noorvik, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",RDB,"Red Dog, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABQ,"Albuquerque, NM",MSP,"Minneapolis, MN"
ABQ,"Albuquerque, NM",ATL,"Atlanta, GA"
ABQ,"Albuquerque, NM",SVC,"Silver City/Hurley, NM"
ABQ,"Albuquerque, NM",CNM,"Carlsbad, NM"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",STL,"St. Louis, MO"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",ELP,"El Paso, TX"
ABQ,"Albuquerque, NM",LBB,"Lubbock, TX"
ABQ,"Albuquerque, NM",MEM,"Memphis, TN"
ABQ,"Albuquerque, NM",FMN,"Farmington, NM"
ABQ,"Albuquerque, NM",DRO,"Durango, CO"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",BOI,"Boise, ID"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
